workbook,family_code,name,refers_to,local_sheet_id,hidden
Price Estimator-Fybroc.xlsm,FYBROC,Enclosure_Table,Tables!$E$192:$F$197,,False
Price Estimator-Fybroc.xlsm,FYBROC,Enclousure_Selected,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,Flush,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,Frame_Table,'[1]Horizontal Data'!#REF!,7,False
Price Estimator-Fybroc.xlsm,FYBROC,Frame_Table,'[1]Horizontal Data'!#REF!,8,False
Price Estimator-Fybroc.xlsm,FYBROC,Frame_Table,Tables!$E$220:$G$251,3,False
Price Estimator-Fybroc.xlsm,FYBROC,Frame_Table,#REF!,9,False
Price Estimator-Fybroc.xlsm,FYBROC,Frame_Table,Tables!$E$224:$G$255,,False
Price Estimator-Fybroc.xlsm,FYBROC,Frequency_Table,'[1]Horizontal Data'!#REF!,7,False
Price Estimator-Fybroc.xlsm,FYBROC,Frequency_Table,'[1]Horizontal Data'!#REF!,8,False
Price Estimator-Fybroc.xlsm,FYBROC,Frequency_Table,Tables!$E$175:$F$177,3,False
Price Estimator-Fybroc.xlsm,FYBROC,Frequency_Table,#REF!,9,False
Price Estimator-Fybroc.xlsm,FYBROC,Frequency_Table,Tables!$E$179:$F$181,,False
Price Estimator-Fybroc.xlsm,FYBROC,Horsepower_Table,'[1]Horizontal Data'!#REF!,7,False
Price Estimator-Fybroc.xlsm,FYBROC,Horsepower_Table,'[1]Horizontal Data'!#REF!,8,False
Price Estimator-Fybroc.xlsm,FYBROC,Horsepower_Table,Tables!$E$141:$F$163,3,False
Price Estimator-Fybroc.xlsm,FYBROC,Horsepower_Table,#REF!,9,False
Price Estimator-Fybroc.xlsm,FYBROC,Horsepower_Table,Tables!$E$145:$F$167,,False
Price Estimator-Fybroc.xlsm,FYBROC,HP_Selected,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,list1,'CC-New'!$A$5:$C$1428,,False
Price Estimator-Fybroc.xlsm,FYBROC,Manf_Table,'[1]Horizontal Data'!#REF!,7,False
Price Estimator-Fybroc.xlsm,FYBROC,Manf_Table,'[1]Horizontal Data'!#REF!,8,False
Price Estimator-Fybroc.xlsm,FYBROC,Manf_Table,Tables!$E$258:$F$267,,False
Price Estimator-Fybroc.xlsm,FYBROC,Mods,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,Motor_Option,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,Motor_Option_Selected,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,MultiplierList,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,Orientation_Table,'[1]Horizontal Data'!#REF!,7,False
Price Estimator-Fybroc.xlsm,FYBROC,Orientation_Table,'[1]Horizontal Data'!#REF!,8,False
Price Estimator-Fybroc.xlsm,FYBROC,Orientation_Table,Tables!$E$127:$F$139,3,False
Price Estimator-Fybroc.xlsm,FYBROC,Orientation_Table,#REF!,9,False
Price Estimator-Fybroc.xlsm,FYBROC,Orientation_Table,Tables!$E$131:$F$143,,False
Price Estimator-Fybroc.xlsm,FYBROC,Poles_Table,'[1]Horizontal Data'!#REF!,7,False
Price Estimator-Fybroc.xlsm,FYBROC,Poles_Table,'[1]Horizontal Data'!#REF!,8,False
Price Estimator-Fybroc.xlsm,FYBROC,Poles_Table,Tables!$E$182:$H$185,3,False
Price Estimator-Fybroc.xlsm,FYBROC,Poles_Table,#REF!,9,False
Price Estimator-Fybroc.xlsm,FYBROC,Poles_Table,Tables!$E$186:$H$189,,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Area,Aquarium!$B$3:$T$67,4,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Area,'CC-New'!$A$1:$T$1428,30,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Area,"'CC-Old'!$A$1:$T$218,'CC-Old'!#REF!",29,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Area,"'Formal Quote'!$B$2:$J$56,'Formal Quote'!$B$60:$J$103,'Formal Quote'!$L$2:$T$56,'Formal Quote'!$L$60:$T$103,'Formal Quote'!$W$2:$AE$56,'Formal Quote'!$W$60:$AE$103,'Formal Quote'!$AH$2:$AP$56,'Formal Quote'!$AH$60:$AP$103,'Formal Quote'!$B$106:$J$136",6,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Area,'Fybroc Horizontal'!$B$2:$I$39,7,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Area,'Fybroc Vertical'!$B$2:$I$36,8,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Area,'M-$'!$C$168:$Q$202,15,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Area,'M-Req'!$A$1:$N$53,12,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Area,Nameplate!$C$1:$J$17,1,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Area,'Price Check'!$A$3:$H$103,2,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Area,"Pricebook!$E$5:$H$24,Pricebook!$T$5:$W$21,Pricebook!$AE$5:$AH$11,Pricebook!$AQ$5:$AT$11,Pricebook!$BA$5:$BD$15,Pricebook!$BK$5:$BN$7,Pricebook!$BR$5:$CA$12,Pricebook!$CK$5:$DA$81,Pricebook!$DH$5:$DT$21,Pricebook!$DV$5:$DX$21,Pricebook!$EF$5:$EU$81,Pricebook!$FC$5:$FG$26,Pricebook!$FM$5:$FO$11,Pricebook!$FT$4:$GD$30",24,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Area,Rep!$A$1:$O$48,22,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Titles,'CC-New'!$A$1:$IV$4,30,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm.Print_Titles,Pricebook!$4:$5,24,False
Price Estimator-Fybroc.xlsm,FYBROC,RPM_Selected,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,rrrrrrrrrr,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,Seal_Materials,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,Seal_Type,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,Shaft_Material,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,Shaft_Selected,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,Size,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,SizeSelected,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,Standard_Table,'[1]Horizontal Data'!#REF!,7,False
Price Estimator-Fybroc.xlsm,FYBROC,Standard_Table,'[1]Horizontal Data'!#REF!,8,False
Price Estimator-Fybroc.xlsm,FYBROC,Standard_Table,Tables!$E$122:$F$123,3,False
Price Estimator-Fybroc.xlsm,FYBROC,Standard_Table,#REF!,9,False
Price Estimator-Fybroc.xlsm,FYBROC,Standard_Table,Tables!$E$126:$F$127,,False
Price Estimator-Fybroc.xlsm,FYBROC,Tab1500PP,Pricebook!$B$6:$M$24,,False
Price Estimator-Fybroc.xlsm,FYBROC,Table1500Pump,Pricebook!$B$6:$M$24,,False
