family_code,workbook_role,workbook_name,name,scope,refers_to,resolved_sheet,resolved_range,row_count,column_count
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Motor_Orientation,workbook,' Motor Assy'!$F$3:$F$5, Motor Assy,$F$3:$F$5,3,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,NamePlate2,workbook,Options!$H$3:$H$4,Options,$H$3:$H$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Power_Frame_Hardware,workbook,'Pump Options'!$K$3:$K$4,Pump Options,$K$3:$K$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Pump_Elastomers,workbook,'Pump Options'!$I$3:$I$5,Pump Options,$I$3:$I$5,3,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,RPM,workbook,' Motor Assy'!$H$3:$H$6, Motor Assy,$H$3:$H$6,4,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Seal_Elastomers,workbook,'Seal Assembly'!$G$3:$G$6,Seal Assembly,$G$3:$G$6,4,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Seal_Guard,workbook,'Seal Assembly'!$H$3:$H$4,Seal Assembly,$H$3:$H$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Seal_Materials,workbook,'Seal Assembly'!$F$3:$F$5,Seal Assembly,$F$3:$F$5,3,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Seal_Option,workbook,'Seal Assembly'!$D$3:$D$7,Seal Assembly,$D$3:$D$7,5,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Seal_Type,workbook,'Seal Assembly'!$E$3:$E$8,Seal Assembly,$E$3:$E$8,6,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Shaft_Material,workbook,'Pump Options'!$F$3:$F$4,Pump Options,$F$3:$F$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Suction_Discharge,workbook,'Pump Options'!$E$3:$E$4,Pump Options,$E$3:$E$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Testing,workbook,Attributes!$U$8:$U$98,Attributes,$U$8:$U$98,91,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,ValidTrim,workbook,Attributes!$AW$7:$AW$46,Attributes,$AW$7:$AW$46,40,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Voltage,workbook,' Motor Assy'!$I$3:$I$5, Motor Assy,$I$3:$I$5,3,1
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.AND,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.CHAR,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.IF,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.IFERROR,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.ISERROR,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.LEFT,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.N,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.NOT,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.PRICE,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.REPLACE,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.RIGHT,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.SERIES,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.SHEET,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.SINGLE,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.T,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.TIME,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,_xleta.VALUE,workbook,#NAME?,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,ANSISize,workbook,"Table4[[#Headers],[ANSI Size]]",,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Ansisze,workbook,"[1]!Table4[[#Headers],[ANSI Size]]",[1],Tab,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Baseplate1,workbook,"INDEX(Table153[],0,MATCH(CONCATENATE('Price Check'!$B$25,"":Group "",'Price Check'!$B$27),Table153[#Headers],0))",,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Baseplate2,workbook,"INDEX(Table153[],0,MATCH(CONCATENATE(MainTemplate!$B$26,"":Group "",MainTemplate!$B$28),Table153[#Headers],0))",,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Baseplate21,workbook,"INDEX(Table153[],0,MATCH(CONCATENATE('Price Check'!$B$25,"":Group "",'Price Check'!$B$27),Table153[#Headers],0))",,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Dean_Pump_Series_List,workbook,"[1]!Dean_Pump_Series[[#All],[Pump Series]]",[1],Dea,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Efficiency_Table,workbook,Tables!$E$200:$F$202,Tables,$E$200:$F$202,3,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Enclosure,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Enclosure_Table,workbook,Tables!$E$192:$F$197,Tables,$E$192:$F$197,6,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Enclousure_Selected,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Flush,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Frame_Table,workbook,Tables!$E$224:$G$255,Tables,$E$224:$G$255,32,3
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Frequency_Table,workbook,Tables!$E$179:$F$181,Tables,$E$179:$F$181,3,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Horsepower_Table,workbook,Tables!$E$145:$F$167,Tables,$E$145:$F$167,23,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,HP_Selected,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,list1,workbook,'CC-New'!$A$5:$C$1428,CC-New,$A$5:$C$1428,1424,3
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Manf_Table,workbook,Tables!$E$258:$F$267,Tables,$E$258:$F$267,10,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Mods,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Motor_Option,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Motor_Option_Selected,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,MultiplierList,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Orientation_Table,workbook,Tables!$E$131:$F$143,Tables,$E$131:$F$143,13,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Poles_Table,workbook,Tables!$E$186:$H$189,Tables,$E$186:$H$189,4,4
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,RPM_Selected,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,rrrrrrrrrr,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Seal_Materials,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Seal_Type,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Shaft_Material,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Shaft_Selected,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Size,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,SizeSelected,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Standard_Table,workbook,Tables!$E$126:$F$127,Tables,$E$126:$F$127,2,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Tab1500PP,workbook,Pricebook!$B$6:$M$24,Pricebook,$B$6:$M$24,19,12
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Table1500Pump,workbook,Pricebook!$B$6:$M$24,Pricebook,$B$6:$M$24,19,12
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Table33,workbook,'M-#'!$G$16:$H$28,M-#,$G$16:$H$28,13,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Table34,workbook,'M-#'!$J$17:$K$39,M-#,$J$17:$K$39,23,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Table35,workbook,'M-#'!$P$24:$Q$27,M-#,$P$24:$Q$27,4,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Table36,workbook,'M-#'!$S$20:$T$26,M-#,$S$20:$T$26,7,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Table37,workbook,'M-#'!$V$21:$W$23,M-#,$V$21:$W$23,3,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Table38,workbook,'M-#'!$Y$22:$Z$37,M-#,$Y$22:$Z$37,16,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Table39,workbook,'M-#'!$AB$23:$AD$58,M-#,$AB$23:$AD$58,36,3
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Table40,workbook,'M-#'!$AF$24:$AG$34,M-#,$AF$24:$AG$34,11,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Trim,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Trim_Selected,workbook,#REF!,,,,
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Voltage_Table,workbook,Tables!$E$205:$F$220,Tables,$E$205:$F$220,16,2
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,xxxxxxxx,workbook,#REF!,,,,
